code;location;registered;envelopes;valid;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana;Referendum o Evropské unii;TOP 09;ANO 2011;Dobrá volba 2016;SPR-Republ.str.Čsl. M.Sládka;Křesť.demokr.unie-Čs.str.lid.;Česká strana národně sociální;REALISTÉ;SPORTOVCI;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);Strana Práv Občanů
561398;Bezděz;299;169;169;24;0;0;3;26;12;4;2;1;0;0;8;0;4;51;0;0;3;0;0;0;0;31;0
X;Ždírec;98;66;66;1;0;0;2;13;14;1;2;0;0;0;5;0;1;20;0;0;0;0;0;0;0;7;0
561401;Blatce;109;78;76;12;0;0;1;8;8;1;2;0;0;0;15;0;5;21;0;0;1;0;0;0;0;2;0
561410;Blíževedly;491;215;215;26;0;0;13;12;24;1;4;0;0;1;14;0;10;72;0;0;1;0;2;0;2;33;0
561428;Bohatice;162;96;95;8;0;0;3;14;8;4;1;4;0;0;16;0;1;17;0;0;2;0;1;0;1;13;2
561444;Brniště;1064;521;517;20;0;0;30;62;79;5;6;17;0;0;25;0;9;167;1;2;11;1;1;4;6;69;2
561479;Cvikov;3637;1912;1905;207;5;0;125;172;189;29;20;32;2;3;179;0;44;592;2;10;45;0;9;1;1;229;9
561380;Česká Lípa;29229;14694;14598;1235;10;10;961;1361;1127;249;103;210;15;28;1626;11;485;4773;23;25;220;18;76;18;23;1945;46
561495;Doksy;4303;2484;2460;284;2;0;162;231;161;34;19;23;1;6;293;0;98;810;3;6;39;3;17;1;2;259;6
561533;Dubá;1417;802;792;67;1;0;27;87;82;8;7;7;5;0;67;2;34;248;2;2;26;0;6;2;2;108;2
561541;Dubnice;518;325;322;10;0;0;22;56;38;4;5;0;0;0;26;0;3;113;0;0;2;1;1;0;1;40;0
544337;Hamr na Jezeře;350;206;205;16;0;0;20;37;16;0;1;1;0;1;15;0;8;60;0;1;2;0;0;1;0;25;1
561584;Holany;423;207;204;11;0;0;14;21;23;2;5;3;0;0;10;0;9;75;0;0;3;0;1;1;0;24;2
561592;Horní Libchava;576;396;396;52;0;0;19;40;27;8;3;3;0;1;35;0;12;123;1;2;6;0;0;0;1;63;0
561606;Horní Police;546;329;324;24;0;0;20;34;50;2;1;3;0;0;31;0;7;100;0;3;9;0;2;0;0;38;0
561614;Chlum;204;102;101;7;0;0;9;23;16;3;1;5;0;0;10;0;1;13;0;0;0;0;0;1;0;12;0
561622;Chotovice;136;95;94;8;1;0;4;30;12;1;0;1;0;0;8;0;3;16;0;0;1;0;0;0;0;9;0
561665;Jestřebí;672;337;336;14;2;0;25;37;22;2;1;6;0;0;32;0;8;128;0;2;6;0;3;2;1;44;1
561681;Kamenický Šenov;3138;1631;1615;110;2;0;119;218;133;18;14;42;4;5;130;3;39;533;0;8;26;1;7;1;8;182;12
546232;Kozly;119;89;89;3;0;1;5;15;9;1;2;2;0;0;7;0;0;30;0;0;1;0;0;2;0;10;1
561720;Kravaře;630;326;324;25;0;0;16;31;43;6;4;4;0;1;30;1;7;108;0;1;2;0;1;0;0;40;4
561738;Krompach;158;122;122;13;0;0;4;23;9;3;0;0;0;0;18;0;11;34;0;1;2;0;1;0;0;2;1
561746;Kunratice u Cvikova;482;276;276;15;0;2;19;43;45;1;5;0;0;0;20;0;2;95;1;2;0;0;0;0;1;20;5
546259;Kvítkov;185;112;112;8;0;0;15;9;16;0;1;0;0;0;8;0;0;37;0;0;0;0;0;0;0;17;1
514161;Luka;82;42;42;5;0;0;3;10;5;1;0;0;0;0;4;0;2;9;0;0;0;0;0;0;0;3;0
561827;Mařenice;268;179;177;20;1;1;10;23;20;0;0;2;1;0;13;0;4;55;0;0;1;0;0;0;0;26;0
561835;Mimoň;5204;2715;2690;162;4;2;169;236;291;32;22;37;3;4;255;3;57;984;3;8;30;6;9;1;7;357;8
561851;Noviny pod Ralskem;249;177;177;14;0;0;11;27;37;0;1;0;0;1;10;0;2;47;0;3;3;0;0;0;0;21;0
561860;Nový Bor;9691;5700;5667;486;10;4;364;843;369;78;38;87;7;9;552;5;229;1774;7;12;53;6;36;14;22;635;27
561878;Nový Oldřichov;641;403;401;23;0;0;18;113;39;5;13;3;0;0;35;0;3;113;0;0;0;0;1;2;0;33;0
561886;Okna;260;179;178;11;0;0;9;25;27;3;2;0;0;0;8;0;1;54;0;2;9;0;0;0;0;27;0
561894;Okrouhlá;493;340;337;45;0;0;13;67;10;1;3;2;2;0;30;1;14;93;3;0;6;0;4;3;0;38;2
514276;Pertoltice pod Ralskem;317;182;182;8;0;0;5;30;28;3;1;1;0;0;8;0;2;75;1;0;1;0;0;0;2;17;0
561959;Polevsko;327;220;218;13;0;0;9;61;9;1;1;0;0;0;24;0;11;56;0;0;4;0;0;1;1;27;0
561983;Provodín;608;327;325;29;0;0;23;19;24;6;3;9;0;0;22;1;2;140;1;0;6;0;2;1;1;35;1
561991;Prysk;360;250;241;18;0;0;11;65;12;2;4;8;0;0;15;0;14;59;0;0;0;0;0;0;0;33;0
530387;Radvanec;173;116;115;17;1;0;4;18;4;3;2;3;0;0;11;0;5;33;0;0;4;0;0;0;0;10;0
562017;Ralsko;1533;574;567;35;1;0;36;26;140;1;5;7;1;1;33;1;11;165;3;6;3;1;2;2;2;85;0
562025;Skalice u České Lípy;1242;709;707;63;4;0;25;120;35;4;1;2;2;0;52;0;26;269;1;0;7;1;4;0;1;88;2
513890;Skalka u Doks;138;83;83;6;0;0;2;3;5;1;9;0;0;0;14;0;2;31;0;0;0;0;0;0;0;10;0
562050;Sloup v Čechách;640;392;390;44;0;1;15;52;32;7;4;3;0;0;46;0;19;116;2;1;10;0;2;0;3;29;4
546275;Slunečná;111;76;76;6;0;0;2;6;5;1;1;2;0;0;9;0;3;27;0;2;2;0;0;0;2;8;0
562076;Sosnová;584;370;369;45;0;0;22;46;23;4;1;7;0;2;41;1;23;110;0;0;9;1;4;0;0;30;0
562092;Stráž pod Ralskem;3433;1806;1790;121;3;3;112;167;185;24;25;23;8;2;174;3;39;616;4;9;12;0;16;9;17;208;10
562106;Stružnice;813;448;447;45;0;1;23;46;50;2;5;7;0;0;34;0;9;158;0;0;8;0;0;0;1;58;0
562114;Stvolínky;261;128;128;12;0;0;5;14;10;6;2;2;0;0;8;0;4;36;0;0;2;0;0;0;2;25;0
546283;Svojkov;194;140;138;31;0;0;2;35;2;0;1;1;0;0;13;0;6;27;0;0;2;0;0;0;0;16;2
562131;Svor;541;349;347;31;0;1;15;69;30;7;1;2;0;0;39;0;9;83;0;0;6;1;3;0;1;46;3
553638;Tachov;145;68;68;5;0;0;3;12;6;2;0;1;0;0;1;0;0;23;0;0;0;1;1;0;0;13;0
546267;Tuhaň;218;127;126;4;0;0;9;13;20;1;3;0;0;0;4;0;4;42;0;3;2;0;1;0;2;17;1
562173;Velenice;158;96;96;4;0;0;3;22;10;4;1;2;0;0;6;0;2;34;1;0;0;0;0;0;0;6;1
562203;Velký Valtinov;159;99;99;10;0;0;5;14;8;0;1;4;0;0;8;0;1;36;0;0;0;0;1;0;0;11;0
562220;Volfartice;540;282;282;21;0;1;11;28;26;3;2;3;2;2;14;1;8;103;0;1;2;0;4;2;0;46;2
562238;Vrchovany;81;50;50;1;0;0;11;3;7;0;0;0;0;0;6;0;0;12;0;0;0;0;0;0;0;10;0
562246;Zahrádky;569;344;339;39;0;0;15;35;26;4;3;6;0;1;30;0;14;105;0;1;7;0;1;0;0;50;2
562262;Zákupy;2267;1242;1233;57;1;0;60;319;132;6;4;16;1;3;81;0;40;333;0;6;10;0;7;1;4;149;3
562297;Žandov;1578;773;759;72;1;0;46;91;115;14;5;9;1;0;60;1;19;210;0;2;17;0;5;2;3;82;4
514195;Ždírec;98;66;66;1;0;0;2;13;14;1;2;0;0;0;5;0;1;20;0;0;0;0;0;0;0;7;0
